date,open,high,low,close,volume_btc,volume_usd,market_cap_all,fng_value,btc_dominance,neutral,positive,negative
2018-08-05,7014.55,7084.95,6891.0,7032.06,779,5441639,257821644522,23,48,400,548,553
2018-08-06,7032.06,7184.0,6835.0,6931.59,1789,12437634,251415138139,25,47,508,600,652
2018-08-07,6931.59,7148.53,6670.5,6720.18,2389,16594592,252753425820,25,47,491,652,677
2018-08-08,6720.18,6720.18,6104.82,6274.5,5724,36488150,221968661669,23,46,405,761,621
2018-08-09,6274.5,6626.62,6195.01,6540.47,3450,22107421,231992345855,19,51,535,648,655
2018-08-10,6540.47,6588.97,6010.5,6109.19,3362,21227385,214425554390,21,46,541,617,654
2018-08-11,6109.19,6208.0,6013.61,6091.87,1536,9395605,216687261973,18,52,407,654,498
2018-08-12,6091.87,6091.87,6091.87,6091.87,0,0,214808905665,18,51,407,540,542
2018-08-13,6318.21,6546.29,6150.0,6257.31,3190,20164785,205432840849,21,48,550,699,693
2018-08-14,6257.31,6262.44,5886.0,6196.17,6264,37887453,193694131074,16,54,563,791,721
2018-08-15,6196.17,6623.09,6187.68,6269.74,4706,30064668,205170359879,18,54,547,724,696
2018-08-16,6269.74,6475.0,6210.04,6313.83,2781,17717210,203977579372,21,52,548,674,669
2018-08-17,6313.83,6580.76,6292.36,6580.76,3322,21597295,217753697597,19,53,480,639,639
2018-08-18,6580.76,6619.79,6300.0,6389.99,1429,9173905,211016896289,24,49,397,567,494
2018-08-19,6389.99,6552.23,6317.73,6491.5,1082,6946616,217635568501,27,52,408,532,520
2018-08-20,6491.5,6524.06,6232.21,6258.36,2762,17630966,213109727985,26,52,499,642,655
2018-08-21,6258.36,6493.0,6250.0,6476.53,2000,12790616,210809121431,19,53,510,585,681
2018-08-22,6476.53,6900.0,6251.0,6350.0,6588,43169169,204837229803,21,50,493,633,621
2018-08-23,6350.0,6570.85,6347.73,6524.17,2942,18946723,209905001519,18,54,496,600,647
2018-08-24,6524.17,6728.46,6450.01,6692.0,3411,22349075,214589669392,19,54,453,605,622
2018-08-25,6692.0,6788.88,6669.7,6730.95,1059,7125580,216749488610,22,54,424,609,467
2018-08-26,6730.95,6767.99,6571.0,6706.31,1000,6671216,215670451884,19,54,419,647,525
2018-08-27,6706.31,6938.83,6653.82,6909.0,3657,24664842,218544535427,18,54,492,637,693
2018-08-28,6909.0,7125.0,6866.78,7075.1,4428,30915953,232191460041,19,54,517,714,690
2018-08-29,7075.1,7119.5,6908.92,7033.83,2348,16503702,229834031363,19,52,491,731,629
2018-08-30,7033.83,7049.99,6795.7,6977.96,3543,24538442,224554351659,22,54,509,686,655
2018-08-31,6977.96,7088.22,6880.0,7017.1,2720,19008922,227835065370,17,54,465,624,659
2018-09-01,7017.1,7250.0,7015.67,7196.18,1103,7876737,237385954142,21,54,412,586,472
2018-09-02,7196.18,7330.99,7129.56,7284.57,1235,8959013,237170081850,18,53,457,570,449
2018-09-03,7284.57,7325.0,7170.7,7252.41,1467,10628270,237414216001,19,54,538,573,490
2018-09-04,7252.41,7409.27,7215.02,7354.92,3439,25204320,239145840632,26,53,551,680,637
2018-09-05,7354.92,7380.53,6666.0,6688.01,4301,30317410,219276176467,17,53,594,620,635
2018-09-06,6688.01,6702.32,6226.0,6496.37,6273,40196776,204917963171,14,55,610,710,607
2018-09-07,6496.37,6529.99,6320.71,6395.85,2780,17953667,204267543412,17,55,528,636,615
2018-09-08,6395.85,6460.68,6120.0,6185.27,2021,12766962,192102831632,18,52,435,607,525
2018-09-09,6185.27,6463.07,6140.01,6243.21,2087,13045123,199383895644,13,56,467,488,480
2018-09-10,6243.21,6371.76,6226.31,6300.0,2051,12900274,195274562656,15,56,532,624,675
2018-09-11,6300.0,6418.71,6165.44,6278.84,2499,15677856,190660093913,18,56,586,611,663
2018-09-12,6278.84,6347.51,6200.0,6324.13,2192,13747156,191366193166,14,59,573,698,578
2018-09-13,6324.13,6529.99,6324.13,6485.0,2332,15062740,199994429814,20,57,595,624,566
2018-09-14,6485.0,6581.04,6389.25,6523.38,2780,18059077,203013260006,23,57,521,626,569
2018-09-15,6523.38,6566.47,6469.0,6530.08,592,3863105,203274507640,24,56,421,572,458
2018-09-16,6530.08,6530.08,6357.9,6498.37,524,3391634,203356536401,28,56,483,509,575
2018-09-17,6498.37,6529.99,6209.01,6251.56,2736,17367416,191780540360,25,53,582,529,597
2018-09-18,6251.56,6384.29,6230.5,6339.92,2240,14136811,197933418116,21,56,539,611,644
