date,open,high,low,close,volume_btc,volume_usd
2018-02-09,8200.0,8728.53,7750.0,8697.78,9425,77002096
2018-02-08,7582.76,8638.99,7556.0,8200.0,12127,99256298
2018-02-07,7682.75,8589.0,7200.0,7582.76,15859,125575748
2018-02-06,6892.67,7944.0,5931.34,7682.75,29967,202478482
2018-02-05,8162.94,8334.0,6500.0,6892.67,22800,166315391
2018-02-04,9221.14,9353.45,7847.39,8162.94,8182,68994814
2018-02-03,8845.07,9494.86,8123.62,9221.14,7572,66978512
2018-02-02,9000.73,9090.0,7603.0,8845.07,21886,185823833
2018-02-01,10112.6,10164.68,8411.11,9000.73,17746,162257631
2018-01-31,10007.42,10299.99,9555.0,10112.6,9378,93072172
2018-01-30,11130.34,11168.7,9734.63,10007.42,11594,120154143
2018-01-29,11633.11,11698.0,10900.0,11130.34,5693,63639125
2018-01-28,11372.85,11878.1,11312.2,11633.11,4203,48573754
2018-01-27,11091.99,11535.0,10821.76,11372.85,4717,52981583
2018-01-26,11114.0,11600.0,10300.0,11091.99,9023,98917678
2018-01-25,11346.58,11693.7,10805.56,11114.0,6974,78666560
2018-01-24,10820.81,11480.01,10500.0,11346.58,8410,92514894
2018-01-23,10780.0,11372.51,9940.0,10820.81,10779,115208955
2018-01-22,11501.0,11865.0,10026.03,10780.0,11158,120643064
2018-01-21,12744.98,12774.17,11112.0,11501.0,5898,69104786
2018-01-20,11535.56,12999.0,11528.68,12744.98,6862,85011809
2018-01-19,11298.0,12018.39,11048.66,11535.56,9545,109669984
2018-01-18,11240.19,12110.0,10677.33,11298.0,16661,191729689
2018-01-17,11399.01,11850.0,9125.0,11240.19,24459,258538366
2018-01-16,13597.6,13601.25,10001.0,11399.01,20640,242184935
2018-01-15,13626.27,14283.26,13400.0,13597.6,4552,62791167
2018-01-14,14174.38,14310.0,13100.0,13626.27,3985,54199076
2018-01-13,13815.26,14550.0,13803.8,14174.38,4901,69653074
2018-01-12,13301.77,14106.0,12900.0,13815.26,8668,118064269
2018-01-11,14929.39,14970.0,12810.0,13301.77,10854,147562255
2018-01-10,14477.55,14933.42,13500.0,14929.39,9009,127693435
2018-01-09,14980.01,15419.24,14161.55,14477.55,7721,114072096
2018-01-08,16150.15,16250.0,13825.22,14980.01,12623,190764811
2018-01-07,17175.0,17175.01,15741.08,16150.15,5625,92772910
2018-01-06,16945.5,17236.46,16298.31,17175.0,5294,88436511
2018-01-05,15199.99,17124.44,14800.0,16945.5,11519,184239283
2018-01-04,15148.92,15503.59,14000.0,15199.99,12450,184306290
2018-01-03,14740.09,15400.0,14583.47,15148.92,8551,127985170
2018-01-02,13338.41,15249.97,12851.0,14740.09,8822,124203791
2018-01-01,13820.26,13824.23,12800.0,13338.41,4575,60856282
2017-12-31,12675.68,14191.2,12511.0,13820.26,8176,108241376
2017-12-30,14574.99,14607.77,12481.44,12675.68,8734,115811566
2017-12-29,14488.61,15115.1,13949.5,14574.99,6391,92789943
2017-12-28,15418.95,15499.99,13514.81,14488.61,11001,156554167
2017-12-27,15830.86,16500.0,14521.0,15418.95,9255,143145845
2017-12-26,13986.68,16150.0,13921.0,15830.86,7183,110604193
2017-12-25,14100.01,14698.99,13317.0,13986.68,5365,75234933
2017-12-24,15002.72,15500.0,12600.0,14100.01,10661,145491336
2017-12-23,14000.0,15894.0,13701.0,15002.72,7712,115094888
2017-12-22,15797.49,15947.97,10611.0,14000.0,41616,560653861
2017-12-21,16596.09,17375.2,15044.7,15797.49,12169,194996102
2017-12-20,17640.01,17881.37,15600.0,16596.09,17000,282413333
2017-12-19,18981.88,19050.0,16750.0,17640.01,12441,223708682
2017-12-18,19260.5,19315.01,18125.45,18981.88,8257,154530092
2017-12-17,19499.99,19999.0,18870.0,19260.5,5561,107762059
2017-12-16,17744.5,19739.0,17713.87,19499.99,5081,95278934
2017-12-15,16678.79,17920.0,16655.12,17744.5,8311,145441853
2017-12-14,16460.9,17150.0,16135.18,16678.79,8702,144057342
2017-12-13,17382.19,17582.15,15902.0,16460.9,11607,195771736
2017-12-12,16800.19,17613.0,16347.71,17382.19,9067,154830186
2017-12-11,15268.98,17488.0,15223.1,16800.19,11136,185348148
2017-12-10,15041.0,16120.0,13141.5,15268.98,15077,221306968
2017-12-09,16250.0,16500.98,14899.99,15041.0,8109,125998456
2017-12-08,17050.0,17712.65,14000.0,16250.0,22184,351152416
2017-12-07,13725.53,17050.0,13400.01,17050.0,25215,379296114
2017-12-06,11711.2,13924.98,11711.19,13725.53,17496,223456763
2017-12-05,11668.84,11900.0,11489.92,11711.2,7153,83791780
2017-12-04,11231.21,11681.0,10850.0,11668.84,7425,84290521
2017-12-03,10888.01,11870.0,10500.17,11231.21,9362,105713191
2017-12-02,10910.18,11200.0,10700.0,10888.01,6316,69145415
2017-12-01,9934.4,10970.0,9360.01,10910.18,12477,128347093
2017-11-30,9827.29,10900.0,8975.0,9934.4,23193,227879938
2017-11-29,9941.7,11454.0,9500.0,9827.29,17642,184437015
2017-11-28,9763.44,9987.0,9649.0,9941.7,7940,78367083
2017-11-27,9304.19,9769.47,9300.0,9763.44,8081,77581809
2017-11-26,8779.62,9475.0,8732.66,9304.19,8532,77276520
2017-11-25,8209.88,8788.5,8152.01,8779.62,5087,43248410
2017-11-24,8009.88,8340.02,7900.0,8209.88,4769,39021234
2017-11-23,8240.82,8279.45,8009.88,8009.88,3457,28235152
2017-11-22,8120.36,8304.98,8100.0,8240.82,3308,27112646
2017-11-21,8246.01,8360.01,7790.0,8120.36,8571,69479610
2017-11-20,8046.98,8314.95,7920.0,8246.01,6511,53305336
2017-11-19,7776.54,8099.0,7668.06,8046.98,3475,27545013
2017-11-18,7677.17,7862.62,7450.0,7776.54,4013,30747193
2017-11-17,7852.44,7993.0,7550.0,7677.17,6185,48368250
2017-11-16,7286.93,7990.0,7131.5,7852.44,7868,59742305
2017-11-15,6606.75,7367.94,6606.75,7286.93,9254,65166171
2017-11-14,6550.76,6761.59,6479.93,6606.75,7781,51440654
2017-11-13,5849.37,6804.87,5800.0,6550.76,16854,107588331
2017-11-12,6340.0,6500.0,5450.0,5849.37,23486,141026382
2017-11-11,6585.11,6850.0,6184.63,6340.0,10387,67052124
2017-11-10,7151.49,7335.05,6420.0,6585.11,16339,110697130
2017-11-09,7465.53,7478.57,7101.02,7151.49,7643,55388780
2017-11-08,7109.7,7950.03,7050.11,7465.53,14651,109081947
2017-11-07,6975.01,7234.68,6975.0,7109.7,5242,37184640
2017-11-06,7394.44,7410.0,6947.63,6975.01,7809,55914080
2017-11-05,7371.55,7589.79,7300.0,7394.44,5159,38544604
2017-11-04,7177.28,7511.34,7099.01,7371.55,3565,26126178
2017-11-03,7037.48,7448.78,6952.59,7177.28,8643,62637881
2017-11-02,6741.02,7336.0,6730.0,7037.48,14647,102052501
2017-11-01,6448.36,6750.0,6365.0,6741.02,8002,52360522
2017-10-31,6124.69,6467.32,6097.8,6448.36,6053,38278978
2017-10-30,6132.76,6204.6,6025.25,6124.69,4699,28772477
2017-10-29,5730.01,6295.03,5699.33,6132.76,6634,40036625
2017-10-28,5765.32,5884.97,5660.79,5730.01,2566,14759022
2017-10-27,5889.42,5992.01,5703.08,5765.32,5054,29347679
2017-10-26,5741.66,5992.51,5692.0,5889.42,5548,32458083
2017-10-25,5517.21,5750.97,5375.0,5741.66,7413,40991869
2017-10-24,5899.6,5903.0,5464.0,5517.21,9343,52870248
