date,crypto bubble,unemployment,pandemic,war,sp500,buy stock,find job,trade war,virus
2019-07-24,0,65,86,79,89,86,74,81,88
2019-07-25,0,63,80,85,76,87,86,86,87
2019-07-26,0,58,77,93,74,89,73,69,84
2019-07-27,0,38,88,97,19,66,45,54,79
2019-07-28,100,74,83,100,18,74,56,55,82
2019-07-29,0,87,72,82,70,67,87,63,88
2019-07-30,0,72,83,82,76,79,89,69,85
2019-07-31,0,67,92,81,100,87,78,86,87
2019-08-01,0,74,68,80,63,73,88,33,76
2019-08-02,0,67,61,83,65,78,88,63,72
2019-08-03,0,38,67,92,21,47,59,33,68
2019-08-04,0,81,89,97,16,55,75,30,67
2019-08-05,0,100,61,86,93,82,88,83,74
